House ID,Golden Grains
6e33d051,1.14865e+06
6e33d0e0,1.1503e+06
6e33d108,1.10871e+06
6e33d16f,1.39037e+06
6e33d1b1,1.34748e+06
6e33d27e,927243.0
6e33d2a1,1.45143e+06
6e33d34f,1.40122e+06
6e33d359,1.15397e+06
6e33d35f,1.30116e+06
6e33d3a7,1.34242e+06
6e33d3be,1.06684e+06
6e33d3fd,1.24482e+06
6e33d405,1.20809e+06
6e33d40f,1.45578e+06
6e33d449,1.38293e+06
6e33d46f,1.1685e+06
6e33d48d,1.1934e+06
6e33d4c9,1.25427e+06
6e33d501,1.41215e+06
6e33d50d,1.40569e+06
6e33d54a,1.31012e+06
6e33d581,1.17647e+06
6e33d590,1.51675e+06
6e33d5d6,1.59238e+06
6e33d632,1.28227e+06
6e33d656,1.40924e+06
6e33d68b,1.24008e+06
6e33d694,1.43275e+06
6e33d699,1.36903e+06
6e33d707,1.17003e+06
6e33d70c,1.42702e+06
6e33d781,1.36025e+06
6e33d792,1.5773e+06
6e33d7b1,1.26032e+06
6e33d7ba,1.37519e+06
6e33d817,1.32202e+06
6e33d82c,1.37826e+06
6e33d85c,1.49311e+06
6e33d8f9,1.28731e+06
6e33d91a,1.10516e+06
6e33d92d,1.55016e+06
6e33d93c,1.20149e+06
6e33d93f,1.56405e+06
6e33d9c6,1.46128e+06
6e33d9d3,1.38474e+06
6e33d9dd,1.49783e+06
6e33da26,1.18007e+06
6e33dae1,1.35564e+06
6e33db61,1.00683e+06
6e33db7f,1.41174e+06
6e33dbd2,1.20217e+06
6e33dc77,1.22274e+06
6e33dcb7,1.1952e+06
6e33dcbb,1.34696e+06
6e33dccb,1.33748e+06
6e33dd37,1.44244e+06
6e33dd66,1.12422e+06
6e33dd73,1.30837e+06
6e33ddd0,878316.0
6e33ddfc,1.27576e+06
6e33de61,1.56116e+06
6e33df5c,924916.0
6e33df99,1.37292e+06
6e33dfa4,1.21694e+06
6e33dfa6,1.19405e+06
6e33dfd4,1.40026e+06
6e33e044,1.49326e+06
6e33e07c,1.24179e+06
6e33e093,1.47705e+06
6e33e0c1,1.27577e+06
6e33e0f0,1.2556e+06
6e33e162,1.42328e+06
6e33e182,1.30158e+06
6e33e267,1.52965e+06
6e33e2ce,1.44055e+06
6e33e385,1.2343e+06
6e33e409,1.40755e+06
6e33e476,1.23286e+06
6e33e492,1.44772e+06
6e33e49d,1.08538e+06
6e33e4cd,1.18693e+06
6e33e4d4,988334.0
6e33e50b,1.45322e+06
6e33e56c,1.27296e+06
6e33e579,1.36125e+06
6e33e589,1.18688e+06
6e33e5c2,1.43298e+06
6e33e5cf,1.05329e+06
6e33e634,1.45491e+06
6e33e63b,1.19636e+06
6e33e68e,1.17245e+06
6e33e696,1.04273e+06
6e33e6b7,1.38459e+06
6e33e6d3,1.46098e+06
6e33e710,1.45395e+06
6e33e760,1.28049e+06
6e33e7b3,1.44052e+06
6e33e7f8,1.25508e+06
6e33e831,1.24537e+06
6e33e88c,1.44973e+06
6e33e919,1.40584e+06
6e33e9aa,1.32085e+06
6e33e9fd,1.26262e+06
6e33ea37,1.09244e+06
6e33ea4d,995663.0
6e33ea59,1.35593e+06
6e33ea6c,1.43247e+06
6e33ea97,1.37412e+06
6e33ea9d,1.27272e+06
6e33eabb,1.28152e+06
6e33eb37,1.32642e+06
6e33eb52,829850.0
6e33eb73,1.56624e+06
6e33ebb3,1.44247e+06
6e33ebef,1.16444e+06
6e33ec16,1.46868e+06
6e33ec52,1.42244e+06
6e33ec9c,1.00732e+06
